电话 呃我我想问一下为什么这个手机的流量不能用 
啊唉你好你好先生你好我想买十块钱流量用我的流量不够了因为快到月底了我要买三百十块钱的流量 对对我因为我这个月五百五百兆不不够用了我想再买还还有其他吗到你们还有其他吗我不够用了再买十块钱 
唉你好唉我想那个这个月那个流量没有了我想那个在那但是这个手机呢只是我的是那个就是我们公司可以的但我这个月流量不够了我想那个 噢没有谢谢 
喂你好我想呃想开通一下同事长途一 呃在国内打使用 
你帮我加的那个流量 我我不是扣欠费了嘛信号以后报 
呃加流量两个g的 对的 
唉你好把我这个手机你看十块钱流量好吧 嗯这个流量幺八七 
喂你好请帮我开通国际漫游 啊 
唉你好小姐我这个手机呃套餐流量没有了我需要加流量 诶好的五十几个g是吧 
唉你好我刚才打电话过来过的就是我那个七月份七月八号要去香港吗然后开通了一个国际漫游还有一个就是刚才问了是说五天的话那个香港的流量无限量是那个一百零八块对吧 呃那能帮我开通一下吗 
好好好好你好好好话费好的好好好好好好哦好好好嗯哦 
唉你好你帮我那个流量打开 严寒 
您好很高兴为您服务你你好嗯我要到越南有一个星期帮我开一下那个国际漫游对 服务密码恩服务密码不知道 
喂你好帮我开一下那个流量流量包好吧 就是二十块钱三百兆的那个 
喂你好我想叠加一下流量 嗯对这个月用的都要那个 
你好唉幺幺通话你这样啊噢你好我看你你稍微等一下过什么 喂 
你好麻烦你帮我那个幺三六八 零六零 
你好我家一下我的那个流量 有多少啊 
您好很高兴为您服务你好帮我加一下流量 按照一有没有什么优惠的 
唉你好帮我手机开通一下国际漫游好吗应该是日保 噢就是有你们给我打电话了 
喂你好我想加流量 唉对对对 
您好很高兴为您服务唉你好帮我开通一下国际漫游 服务密码不记得了 
唉你好麻烦帮我开通一下那个三十元五百兆流量加油包 不要使用然后我刚才在那个移动ap上看到就是现在的促销期再加送一个月算还要再加送五百兆对吧 
唉你好麻烦帮我开通一下国际漫游 噢我知道 
哎我想开通国际漫游今天的 噢手机服务密码多少不知道呀光行不知道 
唉你好我办理一下那个呼叫转移 幺三六七幺七二五七幺九 
唉那个我挂失那个手机号码现在想重新开通一下我那个当时有一个才这个这个这个服务经理的教委被停了 但是我现在手机丢了我也找不到他的号码 
啊你好唉我想我手机加流量您是指这个月 对对对对 
哎你好我想包一下流量 啊好嗯噢 
噢麻烦你刚刚的这个手机那个流量张勇 哎 
帮我开一下国际漫游 
喂你好唉麻烦能帮我开通一下国际漫游啊 对本机号码移动吧 
您好很高兴为您服务唉你好就是请你帮我那个回拨过去去那个移动数据开一下好吧移动数据上网功能打开是吧 上网功能打开是吗 
哎你好啊我想那个办一个国际的那个漫游业务 怎么不是现在 
啊你帮我手机两个手机帮我绑定一下套餐 呃不是另外一个电话号码 
嗯你好我想要一个流量加油包你好 三十块钱一千兆就是加油包的是吧就本月生效 
啊你好小姐麻烦你这边帮我开通一下港澳漫游好吗 短期 
唉你好那个是这样的我这个流量已经用完了然后我想再加一点五 按照我这个比例来吧就是我套餐的比例呢 
高兴您服务块 呃我想把我这手机我报不了吧帮我冲点流量 
哎我想开通一下这个叫什么嗯漫游啊但你报什么费用啊 那么我说我都开通国际漫游 
您好我想要开通国际漫游 对本机 
喂你好我想开通一下那个香港的流量包 嗯到十五号结束今天到十五号五天 
刚打电话说是开通那个境外流量包的日本的 噢就是对就是那个三天 
你好麻烦本机帮我开通短信国际漫游 知道 
有没有没 唉你好那个帮我那个第一天七十元那个就是按天计算的那个那个 
唉你好麻烦你帮我开通一下去那个泰国的国际漫游的业务的电话 啊我不用那么久就一个星期好 
喂你好你好啊呃我我本月的那个流量有点不太够了我想去买点流量就是本月有效的那种 嗯嗯 
唉喂你好呃我要就是申请一个就是说什么把我的这个呃资金转到主号 这个东西 
唉你好唉我想问问我老婆的那个移动手机号码办国际漫游 呃幺五零 
唉你好我那个去柬埔寨你帮我那个漫游看一下 唉对的 
呃帮我叠加啊嗯叠加三百兆流量 对对呃问一下我这边叠加流量它是优先使用的还是正常使用啊 
坏了 我我我这个月办那个这个腾讯元流量三g的这个 
您好很高兴为您服务你好那个我要开通国际漫游 知道 
唉你好集团专线是吧那就我们这边想要办一个集团的一个号码然后刚刚我就咨询过我的意思一个集团号的话至少要把十个手机号码以上才可以办的集团号对吧 办新办新的新的 
喂你好喂我想把我的手机那个加十块钱流量费 知道知道 
你好帮我开通一下国际漫游 呃斯洛伐克 
唉节日好那个麻烦你帮我开一下澳门的漫游 不知道我报身份证号码给你好吧 
啊就是那个国际漫游帮我开一下我要去香港 嗯可以可以开长期的手机密码知道吗呃要密码吗 
唉麻烦帮我开通一下那个国际漫游 对哪个欧洲 
哎你好我想那个开通一下那个电子发票的业务 啊对对对 
您好很高兴为您服务喂你好我想那个手机开一下那个日本的那个国际漫游 有 
喂唉你好麻烦你帮我开通一下那个菲律宾的国际漫游 唉知道 
唉你好帮我手机开一下那个国际漫游 嗯知道的 
唉你好我就是这个手机噢我想那个申请那个下个月申请那个五十元七g的 登记套餐可以吗 
唉你好我那个升级是那个四g卡你能帮我激活一下吧 幺五二 
喂你好我想现在我加十十块钱的就加油包有多少钱 今天我现在我看到月底了呀用不了这么多 
嗯 哎你好请帮我开通一个国际长途到巴厘岛和香港的告诉我 
喂你好呃我两个问题第一个是那个我想开一下呃我这机号码的那个呃是在海外收点击收短信的 唉对对对 
我我想问一下啊就是我这个手机上开通那个到澳门去的 怎么开的 
帮我加一下流量 就这个月用了还 
再见 呃你好我想开通一个呃在伦敦的国际漫游 
呃我要开通一下就是打那个国际长途的 啊对的 
唉你好我那个我想朋友开通一下呃港澳漫游 对因为他现在已经在香港吗没有办法在处理 
