请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 很 高兴 为您服务   你好 喂 哎 你好 啊 我 想 问 一下 这个 移动 那个 包 那个 那个 流量 是 要 要 要 怎么 办法   啊 流量 看 您 开通 多少 的 比如说 是 十块钱 一 百兆 的 加油 包 或者 有 一种 要 多一点 的话 办 那种 半年 包 更 合算 六十元 六个 g 的 有效期 一百八十 天 内 使用 有效   就是 六十元 六个 g 是 一百八十 六号   哎 是 的   一百八 的 那 那 要 怎么 怎么 手机 要 要 要 要 怎么办
您好 高兴 您 服务   噢 你好 我 想 问 一下 噢 我 那个 这个 要 做 过户 手续 是 要 怎么 怎么 做 啊   哪个 号码 要 过户 本机 吗   就是 就是 本 机 因为 这个 当初 用 的 那个 身份证 不能 但 那 时候 肯定 登 那 原先   原先 活动 还 没有 结束 现在 还 过 腹部 了 活动 结束 了 的话 就 双方 机主 凭 身份证 原件 双方 到 营业厅 去   问 不是 是 问 你 现在 是 说 当初 是 用 哪个 身份证 那个 那个 去 说 了 我 又 不 认识 噢 是 这 样子 那 那 要 怎么 过户 啊
您好 请 讲 诶 请问 我 想开 省外 流量 的话 该 怎么样 做   嗯 我 这边 也 可以 直接 帮 您 补充 啊 您 是 只要 补充 这个 月 还是 每个 月 都 要   噢 直接 补充 这个 月   嗯 四百多 兆够 您 用 吗   呃 最低 是 四百多 兆 是 吗   对 或者 就是 十元 一 百兆 吗 四百多 兆 就 十三块 八毛 一
您好 请 讲   喂 请问 一下 那个 呃 添加 家庭网 怎么 添加   请 您 稍 等 呃 您 要加 家庭成员 是 吧   这样   把 您 要 加 的 号码 告诉 我 吧 我 直接 帮 您 加 可以 吗   呃 加个 号码 的
哎 您好 请 说   喂 你好 我 这个 号码 想 再加 一个 家庭 等到 怎么 做   家庭网 我 这边 可以 帮 您 加 福建 这边 可以 加 或者 您 短信 添加 也 可以   怎么 那个 那 你 那 你 帮 我加 一下   噢 号码 多少   稍等一下 噢 我 发给你 幺 八七
您好 请 讲   诶 你好 这 样子 我 手机 里 流量 用 完 了 我 想 买 这个 呃 三十块 钱 怎么 一 百兆 那个   怎么 怎么 办理 啊 三十块 钱 一个 g 的 要 马上 开通 是 吗   对 啊 不是 吗 我 我 在 外地 也 不 不 那个 那个 一个 地址 和 省内外 就 不能 用 了   您 放心 啊   中国 内地 了 我 再 打 我 在 湖南省 啊 可以 把 中国 大陆 通用 啊 同样 啊 那 那 那 那 你
嗯 您好 请 讲   喂 你好 诶 我 想 问 一下 那个 翔安 这边 如果 办理 宽带 取消 要 在 哪里 办 我们 电话   宽带 取消 您 稍 等 我们 移动 宽带 吗   呃   好先 稍等一下 二十 它 是 哎 嗯 多 您好 啊 对 宽带 取消 的话 您 在 翔 是 想 和 去 这边 就 叫 营业厅 过去 取消 华 国际   呃 大 大概 位置 能 不能 发给 我 就是 通过 短信 发给 我
您好 请 讲   肯定 要加 我 看 下 这个 办 一个 流量 怎么办   办 流量 你 需要 补充 一些 是 吗 这个 月 的   到 这个 月底 作废   我 看 一下 噢 诶 我 这边 你 办 那个 流量 包 半年 的 那种 吧 六十块 六个 g 这个 在 一百八十 天内用 完 就 好 了   多少 的
您好 您 讲   喂 你好 你好 这 手机 我 的 手机 的 服务 密码 忘记 了 怎么 搞   服务 密码 忘记 的话 只能 进行 重置 密码 了 那 您 稍 等 我 帮 您 看 一下 这边 您 要 怎么 操作   噢   帮 您 核实 了 一下 就是说 您 这边 话 直接 发送 一下 四 零星 号键 然后 输入 下 您 的 那个 新密码 再 一个 星号 键 输入 身份证 号码 用井 号键 结束 发送到 幺 零零 八六 就 可以 操作 了 操作 方式 我 这边 也 给 您 发 一下 短信 您 根据 短信 操作 一下 哈 可以 可以 好 的 好 的 嗯 好 的 还有 什么 其他 需要 呢 没有 没有 谢谢 啊 好 不 客气 的 那 祝您 生活 愉快 再见
你好 请 说   诶 你 这个 流量 包是 怎么 包 的   呃 流量 包 的话 像 十块钱 一 百兆 还有 包月 的 三十元 一 g 五十元 两 g 七十 元 三 g 八月份 如果 现在 开通 是 按 比例 折算 的 就 今天 十七号 了 就 一半左右 这 样子   啊 那 你 先 给 我 拿 一个 那个 十 十块钱 的 流量 包 啊 可以 一 百兆 啊   马上 生效 它 下个月 会 自动 取消 的 噢 好好 流量 下个月 清零 好 可以 了 好 的 还有 什么 可以 帮到 您 的 吗   没有 了
您好 请 讲 你好 电话 已 接通   喂 您好   噢 您好 您 说   哎 诶 我 我 想 问 一下 我 这个 我 这个 原来 八十八 的 套餐 我要 改新 的 套餐 怎么 改   您 可以 改成 幺 三八 套餐 新飞 享 八十八 的 那个 改不了 不好意思   呃 那 我 能 不能 先 这样 再 改
您好 请 说 你好   呃 帮 我查 一下 我 我 我 那 宽带 噢 就是 装 那个 移动 的 宽带 我 好像 上次 不 懂 怎么弄 那个 密码 忘记 了 怎么弄 啊   您 是 宽带 密码 不 知道 是 吗   对 对 对   没关系 我 重新 给 您 发送 一个 新 的 宽带 密码 过去 那 您 宽带 等 下 路由器 的 wifi 密码 需要 自己 重新 设置 过 一个 了 噢   什么 是
您好 请 讲   诶 请问 一下 我 那个 手机 就 在 还 得 要 补卡 那个 要 怎么办   您 是 指 那个 哪里 的 号码 漳州 的 还是   传过来 漳州 的   噢 漳州 的 移动 号码 登记 是 您 自己 的 身份证 原件 对 吧   诶 对 啊
您好 请 说   诶 你好 我要 这 我 这本 机要 换 那个 四 g 卡要 怎么 换 呢   换 什么   四 g 的 卡 现在   是 吗 啊 对 啊 您 这边 如果说 不是 四 g 卡 的话 您 这边 可以 带上 您 身份证 去 营业厅 换 四 g 卡   噢 到 营业厅 里面 去 换 话 是 的 是 的
您好 请 讲   好 你好   您好   诶 我 想 把 那个 我 现在 那个 套餐 这个 改为 新 的 飞享 五十八 的 要 怎么弄 啊   那 你 要 你 下个月 改 下下个月 生效   你 你 这边 可以 帮 我 改 吗
您好 请 说   呃 您好 我 想 问 一下 我 这 张卡 要是 不用 的话 要 怎么办   不用 的话 带上 身份证 原件 到 当地 的 营业厅 那边 去 注销   噢 这样 就 可以 了 然后 我 欠费 的 也 只要 交交 交完 嘛   对 再 帮 您 注销 的 时候 把 欠费 的 金额 可以 补交   噢 好
您好 很 高兴 为您服务   哎 你好 那个 呃 我 收到 短信 那个 就是 我 这个 宽带 大概 十一月 十号 到期 支付宝 那 我 想 问 一下 如果 我 不续 用 的话 我 可以 直接 电话 通知 我们 还是 说   不是   说 就行了 费用   嗯 是 这 样子 的 您 这边 如果 不 不是 预约 的话 需要 携带 身份证 到 营业厅 进行 一下 宽带 账号 的 注销 噢   那 为什么 这么 麻烦 呢 你们 搞 的 别人 扣 他 的 时间 那 很 麻烦 呢
您好 请 讲   您 那个 你好 我 想 问 一下 那个 外地 卡 肯定 它 就 注销 吗   是 省外 号码 吗   无线 是 省内 的   吗 号码 的话 我们 福建 规定 是 只能 在 号码 归属 地 当然 销户 的 没有 办法 跨地区 注销 不好意思   那 如果 那 张卡 不用 了 怎么办 呀
您好 很 高兴 您 服务   喂 你好   诶 您好   问 一下 我们 这 那个 宽带 移机 的话 是 要 去 营业厅 办 的 吗   我 看 一下 哈 您 稍 等 您好 感谢 耐心 等待 呃 我 这边 查看 了 一下 这个 需要 的 要 麻烦 您 机主 本人 带 身份证 原件 到 营业厅 办理   这 样子 我 昨天 打电话 给 你们 跟 你们 问说 那个 那个 移机 的话 你们 讲 说 不要 你们 会 安排 人 过去 今天 我 打电话 过去 人家 那个 维修 人员 他 说 他们 不 知道 他 是 没 单子 他 叫 我 去 了 昨天 没 讲清楚
你好 请 讲   诶 你好 我 我 想 问 那 我 这个 套餐 行 我 这个 套餐 费 三五   没 听 清楚 套餐 什么 问题 请 再 重复 一遍 好 吗   我 说 我 那个 套餐 是 办   套餐 什么 问题   我 说 我 的 套餐 怎么 可以 改
您好 很 高兴 为您服务 诶 你好 你好   呃 我 今天 今天 又 我 想 问 一个 问题 嗯 嗯   比如说 喂 诶 您好 您 说   您 那个 是 叫 呼叫 等待 您 如果说 在 通话 过程 中有 另外 方 打电话 过来 的 时候 他 手机 上 会 显示 一个 通话 接换 如果 您 是 两个 都 按 掉 的话 它 两个 就 会 中断 了   不是 我们 幺 二 呢 之前 我 再 讲 的话 突然 是 另外 一个 电话 进来 了 也 可以 讲话 同意 的话 我 也 没接 同时 我 没试 我 一直 在 讲话 的 他 讲 说话 他 打 进来 有 接通 了 就 自动 接通 的   我 是 我 在 通话 当中 我 另外 一个 朋友 打 进来 它 自动 原来 那个 自动 断掉 儿 把 这个 g 打 进来 电话 就是 通话 了
您好 请 讲 有 什么 可以 帮 您   我 想 问 一下 那个 我要 换卡 嘛 噢 那个 换换 一张 卡要 怎么 怎么办   拿 身份证 到 营业厅 去 换卡 就 可以 了 帮别人 办 也 帮别人 办 别人 的 卡 是 吗   对   请稍等 为 您 看 一下 哪里 的 卡 呀   呃 厦门 的 就是 我 那个
您好 请 讲   诶 你好 我 想 问 一下 就是 我 手机卡 那个 丢 了 我 现在 想 把 那个 号 停掉 要 怎么 停 啊 我 今天 可以 帮 您 挂失   密码 知道 吗   我 这个 密码 这 都 是 很早 的 卡   嗯 如果 不 知道 密码 的话 您 提供 身份证 号码 跟 近 三个 月 的 三次 充值 记录 比如说 有 充过 五十 了 一百 呀 提供 三个 额度 就行 这 两个 能 提 功能 了 吗 嗯 嗯 我 想 一下   噢 就是 意思 是 我 这边 挂失 是 什么 意思 啊
你好   我 我 因为 我 这 手机 开 那个 铃 铃声 彩铃 是 怎么 开嘛   可以 帮 您 升彩铃要 打 幺 二 五五 三零   为什么 刚才 我们 幺 零零 八六让 我 打 这个 幺 二 五八 零 这边 自己 开展   我 知道 他 就 给 我 打打 那个 幺 二 五八 零 啊   幺 二 五八 零是 查询 号码 的 铃声 是 幺 二五 三零 这边 没有 铃声 的 服务
您 您好 请 说   喂 你好   诶 有 什么 帮 您   哎 呃 我 那 手机 呃 手机 想 嗯 比如说 想 设置 就是 就是 人家 打打 进来 是 呃 无法 接通 无法 接通 还是 设置 什么 东西   无法 接通 那 您 意思 说 您 不想 接到 别人 的 来电 是 吧 那 这种 的话 您 可以 进行 呼叫转移 吗   啊 呼叫转移
您好 高兴 为您服务 哎   哎 你好 我 想 咨询 一下 那个 呼叫转移 那个 可以 要 怎么 设置   嗯 您 自己 要 设置 呼叫转移 到 别的 号码 是 吧   那 您 这边 能 帮 我 设置 吗   呃 我 这边 设置 它 本机 来电 设置 不了 噢 可以 设置 他机 的   诶 这 怎么 交 四十三 g 的
不 知道   呃 您好 很 高兴 为您服务   诶 你好 你 帮 我 我 问 一下 就是说 那个 手机 的 那个 服务 号码 服务 密码 这个 怎么 改   密码 这个 呃 您 是 修改 吗 修改 可以 发短信 啊 重置 也 可以 发短信 啊 你 接 重新 设置 一个 新 的 叫 你 记 的 身份证号 它 是 可以 设置 的   那 怎么 怎么弄 啊   带 您 就是 发送 四零 一号 键 你 要 自己 设置 的 密码 然后 身份证号 井号键 这样 发到 幺 零零 八六 这 样子 就 可以 重置 了 我 把 这个 方法 给 您 发过来 吧
您好 什么 可以 帮 您   呃 你好 我 刚才 收到 一个 那个 短信 他 说 这个 月 可以 领一 g 的 那个 流量 可是 我 按 它 那个 提示 发送 的 那 短信 不 知道 怎么 花   噢 我 给 您 查 一下 一个月 一个 g 省内 流量 噢 您 可以 放心 您 想 前面 少 了 一个 星号 键 他 是 让 您 发送 星号 键 幺 三六是 发到 幺 零零 八六 您 只发 了 一个 幺 三六是 前面 少 了 一个 星号 键   噢 还有 发 一个 星号 键   呃 对 星号 键 幺 三六是 发给 幺 零零 八六 根据 它 的 短信 提示 零请 您 收到 成功 领取 信息 为准 好 吗   噢 好
你好 请 说   诶 我 那个 有 开通 这个 什么 香港 慢是 吧 是 怎么 开要 几天 呐   您 这 号码 的话 是 已经 有 开通 国际 及 港澳台 漫游 功能 的 钱   不是 那个 不是 有个 什么 流量 是 吧   流量 的 是 的 没错 它 是 有 三天 五天 七天 的 先生   五天 怎么 算 啊
你好 很 高兴 为您服务   那个 你 能 不能 帮 我查 一下 我 那个 手机 的 那个 结婚 了   可以 的 目前 您 的 积分 的话 这边 是 有 累积 五千 一百一十 七分   嗯 能 不能 发短信 给 我 吗   我 稍后 将 那个 查询 方式 给 您 发 过去 好 吗   查询 方式 吧
您好 请 说   你好 我 想 问 一下 我 这个 家庭 呃 就是 网 网内通话 那种 要 怎么 增加 新 号码 就是 家庭成员 之间   可以 发短信 进行 添加 或者说 您 现在 把 号码 告诉 我 我 这边 帮 您 去 添加   呃 那 我 给 你 号码 你 帮 我加 的 诶 一 一个 家庭 可以 有 几个 号码   最 多 可以 八个   噢 然后 那个 费用 就是 同样 的 费用 对 吧
您好 很 高兴 为您服务   哎 你好 问 一下 我 现在 要 这个 流量 包要 怎么弄   下个月 的 对 吧   就 这 一个月   这个 月 啊 可以 帮 您 办 补充 的 先 剩 补充 包 的话 呃 稍等一下   啊
您好 请 讲 见 诶 我 那个 号码 幺 八三 五九 幺 五五 幺 八十 三天 开会 您 自己 专线   啊 那 张卡 信息 的话 它 说 那 张卡 服务 密码 密码 知道 吗   对 开卡 但是 它 的 卡 没有 要 密码 我 在 我 在 我 在 手机店 买 的 呀   登录 密码 情况 的话 我们 直接 查不到 它 数据 啊 要 用 本机 号 打   我 不 需要 你 的 密码 超出 去 我 现在 跟 你 讲 我 这个 号码 我 就 我 这个 手机 被 别人 偷 了 我 我 现在 怎么办 这个 号码 是 我 用 的 我 用 我 的 身份证 开 的 它 现在 还 在 开机 使用 我 的 号码 当中   这种 情况 呢 可以 办 一个 叫 停机 保号 暂时 停掉 一天 一毛 六 它 只要 您 没有 密码 情况 下 我们 需要 您 的 身份证 号码 然后 还 需要 五天 之前 三个 月 之内 平常 充 的 话费 有 三笔 钱 吗
您好 请 讲   你好 我 这边 本 机 上面 有 有 有 捆绑 一条 宽带 包年 宽带 我 想 取消 掉 要 怎么 取消   呃 您 这个 如果 宽带 还 没 到期 取消 交 违约金 这 样子 对 您 不划算   不用 了 我 这 十五号 到 我 这个 月 做 这个 月 还有 还有 昨天 就 到期 了 我 我 不要 用 了 呗   您 这个 宽带 是 两年 不是 一年 先生   不是 不是 还有 还有 另外 一个 账号 还有 另外 一个 是 吧 我 看 一下
您好 请 说   诶 你好 是 这样 就是 呃 我 过 两天 要 去 那个 越南 旅游 然后 就要 这个 把 这个 手机 开通 一下 漫游 我 需要 怎么 改要 到 营业厅 去 吗 不用 国际漫游 功能 您 已经 开过 了 也 不 需要 另外 再 开到 越南 的话 您   去 那边 也 是 有 信号 可以 直接 用 的 噢 我 看 下 到 越南 怎么 收费   嗯   到 越南 的话 接听电话 是 九 毛 九 一分钟 打 当地 跟 打 回 中国 大陆 也 是 九 毛 九 一分钟   我 把 到 那边 的 资费 发给您
您好 很 高兴 您 服务   喂 你好 就是 那个 我 问 一下 你 你 宽带 怎么办 啊   新装 是 吗 啊 新装 一条 宽带 对 吧   呃 对   现在 帮 您 转到 新装 客服 为 你 介绍 请 您 不要 挂机 祝您 万事如意 再见
您好 请 讲   诶 麻烦 你 我 这个 如果 要 开通 港澳台 国际 业务 的话 怎么 开通 啊   呃 您 这 张卡 的话 我 可以 直接 帮 您 打开 那个 港澳台 国际漫游 功能 现在 就 给 您 开 是 吗   帮 我 开 一下 好 吗   诶 行 稍等一下 哈 谢谢 好 的 功能 给 您 开好 了 您 去 什么 地方 资费 要 不要 给 您 介绍 一下   啊 不要 没关系 我 看 一下 我 打 国外 的 电话
