你好 请 讲 其他   先生 嗯 请 讲
嗯 嗯 嗯 你好 很 高兴 您 服务   啊 这 里面 的 套餐 是 三十八 元 的 然后 呢 您 是 说 说
您好 很 高兴 为您服务   变更 掉 了 下个月 改 的 是 新 版本 的 三十八 套餐
哎 请 说   有 一个 集团 彩铃 这个 有 有 集团 来 帮 您 付费 的 另外 是 有 一个 个人 彩铃
您好 请 讲   基本 套餐
您好 请 讲   一天 一个 g 没有 啊 本机 是 十八块 钱 套餐 只有 一 百兆 流量 您 是 帮 另外 一个 号码 付费 的 另外 一个 幺 八八 那个 号码 才 是 流量 王 的 对 对 对 对 对 对
对 您好 很 高兴 您 服务   昨天 开 几个 是 吗
您好 您 说   呃 您好 您 说
您好 请 讲   你好
您好 很 高兴 为您服务   呃 您 本 机号码 目前 除了 您 的 月租费 用 三十八 还有 一个 宽带 业务 以外 那 其他 的 业务 我 帮 您 查询 就 没有 再 额外 开通 了
您好 请 讲   请稍等 这边 核实 一下 就 基本 套餐 以外 的话 有个 两块钱 的 来电 提醒
你好 什么 需要 帮 您   帮 您 看 一下 除了 您 的 月租费 十八块 钱 以外 呢 有 开通 一个 来电 提醒 两块钱 其他 的话 您 都 取消 掉 了 别的 没有 什么 业务 收费 了
啊 您好 请 讲   三十 八块钱 的 套餐
嗯 下午 好 很 高兴 为您服务   好 的 请 没有
那空 号 请 讲   嗯 好 是 的 现在 就 只有 几兆 了 要 开 一个 流量 包 吗
您好 请 说   好 的 请稍等 目前 帮 您 查询 这 号码 这个 三十 八块钱 的 套餐 跟 一个 三块 钱 的 来电 提醒 功能 其他 收费 目前 帮 您 查询 都 没有 就 三十八 跟 来电 提醒
您好 请 讲   有 八十八 套餐 呢 您 想 改 八十八 的 是 吗
您好 很 高兴 为您服务   您 这边 有放 其他 业务 有充 一个 pd 区 mp 微 的 一个 手机 视频 还有 一个 华谊 央视 还有 一个 咪咕 阅读 女生 的 读包 跟 一个 呃 咪 咕 阅读 婚恋 精选 包 这 三个 一个 几个 业务 要 不要 帮 您 取消 呢
嗯 您好 请 说   本 机 除了 套餐 费 二十八 有办 了 一个 精品 漫赏 尊享 包 跟 彩印 这 两个 要 关掉 吗
你好 请 讲   噢 好 的 稍 等 啊
您好 请 讲   没有 您 这边 的话 如果说 是 三十元 五百 兆 省内 流量 保 那个 是 活动 赠送 的 它 赠送 期间 的 话费 我们 是 有 返还 没收 您 自己 的 费用
喂 你好   诶 请 说
您好 很 高兴 您 服务   这个 目前 帮 您 看 就是 幺 八八 的 套餐 有个 夜间 流量 包 十块 啊 这个 要 取消 吗
您好 请 说   好 的 我 马上 帮 您 看 一下 套餐 费 三十八 元 的 它 里面 是 五百 兆 流量 本地 打 全国 一百 分钟
您好 请 说   诶 你好
什么 您好 请 讲   呃 好 我 看 一下
您好 嗯   您 现在 使用 的 是 七十九 的 套餐
哦 您好 请 说   好 我 帮 您 看 一下 其他 收费 的 套餐 费 五十块 还有 一个 流量 套餐 三十 别的 就 没有 了
您好 很 高兴 您 服务   呃 现在 是 三十 八块钱 的 基本 套餐
您好 很 高兴 为您服务   您 这 里面 一个 四十八 校园 套餐 还有 个 二十块 钱 的 任 我 用 流量 包
您好 很 高兴 您 服务 您好   您 这 号码 的话 现在 是 我们 十八 的 一个 飞享 的 套餐 下个月 一号 您 改成 新飞 享 五十八 的 套餐 了 然后 除了 基本 套餐 以外 现在 就是 来电 提醒 还有 您 之前 买 的 六十元 六个 g 的 流量 然后 其他 的话 就 没有 额外收费 业务
你好   请 您 稍 等 我 帮 您 查询 一下
您好 高兴 服务   您 稍等一下 现在 套餐 一个月 五十八 一百 分钟 五百 兆 流量 加 来电显示
你好 有 什么 可以 帮 您   可以 您 的 套餐 一个月 是 三十 八块钱 那 里面 是 您 在 宁德 打 全国 一百 分钟 五百 兆 流量 也 包含 来电显示
您好 请 说   稍等一下 嗯 是 有 一个 七十块 两个 g 的 流量 需要 取消 掉 对 吗
你好 什么 可以 帮 您   流量 套餐 我 帮 您 看 一下 噢 噢
您好 兴 您 服务   噢 好 您 稍等一下 对 您 这边 现在 基本 套餐 是 三十 八块钱 然后 另外 包月 的 有 一个 宽带 宽带 您 这个 是 买 一年 送 买 一年 送 一年 的 其他 的话 我 看 一下 有 一个 价值 三十块 钱 五百 兆 的 流量 包 这个 是 免费送 的 您 自己 的话 就是
您好 请 讲   嗯 您好
您好 您 说   共享 的 流量 共享 流量 五 g 是 的
您好 请 说 你好   嗯 女士 您 现在 这 号码 的话 就是 那个 九十九 的 一个 套餐 九十九
好 的 请 您 稍 等   感谢 耐心 等待 您 现在 来电 的 这个 号码 的话 就是 呃 首先 您 自己 的 月租 这 张卡 是 每个 月 语音 通话 保底 消费 需要 打到 十 十元 的 另外 呃 月租费 是 九块 钱 对 您 这 张卡 月租费 十九块 钱 的 然后 月份 开通 彩铃 的 功能 对 是 的 另外 的话 其他 的 业务 需要 收费 的 就 一个 来电显示 的 功能 每个 月 六块 有 一个 手机 的话 我 看 没什么 用 这个 我 帮 您 取消 掉 吧 好 吗
嗯 您好 很 高兴 为您服务   恩 您好
您好 请 讲   您好 您好 您 是 说 什么 问题
您好 请 说   啊 兄弟 诶 您好 感谢您 耐心 等待 这边 的话 您 这个 除了 基本 套餐 八块钱 以外 没有 其他 的 收费 了
嗯 您好 很 高兴 为您服务 嗯 等 一下   呃 您好 女士 我
您好 到 为您服务   呃 您 三十八 套餐 没有 变 两个 套餐 啊 下个月 改 八十八 套餐 了
你好   我 帮 您 看 一下 月租 三十八 有 有 一些 增值 业务 是 什么 彩铃 来电 提醒 彩印 还有 什么 幺 二 会员 的 一个 业务 要 帮 您 都 取消 吗
您好 很 高兴 为您服务   那 就 这个 基本 套餐 的 然后 这边 还有 个 大厦 这边 还有 一个 来电 提醒 已经 帮 您 预约 下个月 取消 的
您好 很 高兴 为您服务   您 现在 是 十八块 的 套餐 下个月 就 改 七十九 的 了
您好 很 高兴 为您服务   套餐 不能取消 只能 修改 那 您 是 要 改成 什么 套餐 呢
呃 中午 好   现在 是 十八块 的 先生 呃 十八 十八块 的 噢 就是 打电话 有 一百 分钟 然后 呢 接 是 免费 的 流量 一 百兆
对 您好 请 讲   哎 我 给 您 看 一下 上面 确实 有 一些 像 活动 给 您 优惠 赠送 的 一些 彩铃 啊 彩印 啊 来电 提醒 幺 二 五八 零 会员 啊 这些 您 都 不要 是 吗 感谢 来电
您好 中午 好   嗯 我 看 一下 您 现在 固定 的 就是 一个 五十块 钱 的 基本 的 一个 套餐 一个 来电 提醒 呃 一个 彩铃 彩印 还有 个 集团 网 目前 没有 再 收费 的 就是 这 一些 其他 的 就 没有 啦
您好 很 高兴 为您服务   我查 一下 您 稍 等
您好 很 高兴 为您服务   好 的 请 您 稍 等 感谢您 耐心 等待 那 我 这边 帮 您 看 了 一下
您好 请 讲   嗯 您 本机 是 十八块 钱 的 套餐 就是 本地 打 国内 一百 分钟 流量 一 百兆
您好 请 讲   您 现在 用 的 是 三十八 套餐 套餐 费三 十八块 下个月 改为 新飞 享 的 三十八
您好 很 高兴 为您服务   好 基本 套餐 三十八 其他 正在 核实 您 稍 等 通过 系统 核实 除了 套餐 费 三十八 以外 您 本 机号码 上 目前 没有 其他 任何 收费 业务
您好   就 这样
嗯 嗯 您好 感谢您 的 耐 您好 请 说   嗯 国际漫游 功能 我 这边 看 了 一下 有开
您好 很 高兴 为您服务   好 的 稍等一下 现在 您 总共 诶 等 一下 啊 呃 您 现在 这个 号码 是 户主 我 稍后 把 您 的 家庭成员 的 信息 都 发给您 看 一下 吗
哎 好 您好 请 讲   嗯 嗯 可以 好 我 看 一下 稍 等
您好 请 讲   有 开通 什么 业务 是 吗
中午 好 很 高兴 为您服务   有 开通 的 是 三十八 元 套餐 这 样子 呃 其他 业务 的话 目前 查询 没有 啦
您好 请 讲   您好
您好 请 说   您 现在 收费 就 一个 五十八 的 基本 套餐 跟 一个 五十块 的 流量 套餐
嗯 您好 高兴 您 服务 行   好 马上 查查 一下 上网 功能 关掉 了
您好 请 讲   诶 怎么 那
但 啊 您好 请 讲   请 说
您好 请 说   还有 呢
嗯 已经 试过 了 感谢您 的 关心   就是 到 一 八年 一月 十八号
您好   嗯 我 看 一下
您好 很 高兴 为您服务 你好   请 说
嗯 好 请 您好 请 讲   呃 十八块 钱 的 套餐
您好 请 讲 你好   您 现在 套餐 是 吗 现在 套餐 是 五十八 的 通话 套餐 七十 元 流量 套餐 还 多交 了 一个 三十元 的 流量 包
很 高兴 您 服务   你好
您好 请 讲   流量 就 您 三十八 里面 自带 的 那个 五百 兆 啊 没有 额外 的
您好 请 讲   您 本机 有 收费 业务 目前 的话 只有 那个 三十 八块钱 的 月租 其他 业务 的话 就 说 没有 开通 了 您 主要 扣 了 比较 多 的 费用 是因为 您 上个月 打电话 打 了 十九块 多
您好 很 高兴 为您服务   您好
您好 请 说   呃 对 三十元 流量 包 那个 就 到 这个 月底 到期 要 给 您 取消 了 是 吗
除了 这个 以外 呢 有 一个 九块 钱 那个 优酷 的 一个 视频 流量 包 那个 要 帮 您 取消 掉 吗   好 这个 帮 您 取消 然后 剩下 一个 家庭网 有 收费 其他 就 没有 收费 了
嗯 嗯 好 你好 请 讲   嗯 嗯
嗯 哼 嗯 您好 请 讲   你好
您好 什么 可以 帮助 您   开通 什么 收费 业务 是 吗
你好 请 讲   三十 g
你好 请 说   好 的 您 稍等一下 嗯 嗯
嗯 哼   您 现在 是 新飞 享 三十 八块钱 的 套餐
您好 请 说   可以 的 您 这 套餐 的话 就是 八十八 的 三百五十 分钟 三百 兆 流量 有 一个 来电 提醒 三块 钱 还有 个 彩印 三块 其他 的 业务 我 帮 您 看到 就 没有 啦
您好 很 高兴 为您服务   月租 您 再 取消 吗 还是 什么 啊 要 取消 掉
您好 很 高兴 为您服务   噢 好 的 那 您 本 机号码 月租费 八块钱 那 另外 的话 是 有 个 来电 提醒 还有 个 彩印 那 这 两个 业务 的话 它 这边 是 给 您 有 赠送 的 到 十二月 一号 到期 就 会 自动 取消 其他 的 我 这边 帮 您 查询 那 您 这 张卡 的话 其他 就 没有 什么 有 扣费 的 业务 了
您好 请 讲   呃 三十 八块钱 套餐 一个月
您好 请 说   请稍等 还有 的 有 个 幺 八三 的 号码 吧 流量 送给 您 的
您好 请 讲   您 是 说 这 张卡 现在 看 什么 套餐 是 吗
行 啊 您好 请 讲 哎 你好   很 抱歉 女士 首先 呢 微信 它 这个 业务 不是 移动 的 业务 啊 它 为什么 怎么 发送信息 已经 怎么 提醒 的话 我们 这边 前台 没有 办法 具体 的 核对 的 您 可能 要 打 一下 微信 客服 问 一下 了
您好 请 讲   呃 我 刚刚 查 了 一下 你 现在 号码 就 一个 十三块 钱 的 套餐 然后 呃 其他 收费 的 套餐 业务 就 没有 看到 了
您好 请 说   您 现在 用 的 是 四 g 飞享 三十八 元 套餐
您好 请 讲   诶 您 说
你好 请 说   嗯 对 是 飞享 然后 呢
您好 很 高兴 为您服务   嗯 宽带 的 九十九 元 套餐
您好 请 说 您好   啊 您 这 是 十八 的 飞享 套餐
你好   您好
换 的话 是 下个月 一号 生效 这个 月 还 没 生效   注销 注销 什么
下午 好 很 高兴 为您服务   套餐 是 吗
你好   五 十八块
可以   呃 您 要 去 营业厅 改 照常 可以 用 好
您好 请 说   恩 您好
您好 很 高兴 为您服务   噢 我 帮 您 看 一下 啊 就是 设置 关机 或者 没有 信号 无应答 通话 用 完 它 就 转接 到 幺 五 二七 零三 零 三八 八七
您好 请 讲   请 稍等一下 噢 我查 了 一下 没有
您好 您好 请问 什么 帮助 您   五十八 元
您好 请 说   十八块 钱
唉呀 很 高兴 为您服务 您好   嗯 嗯
您好 很 高兴 为您服务 喂 诶 你好 请 说   噢 幺 七 二 没有 开通 那个 澳门 的 国际漫游 对 吗
请 讲 嗯 嗯 您好 请 说   恩 你好
很 高兴 为您服务   请 您 稍等一下
您好 请 讲   您 手机 已经 办理 了 异地 携号 的 服务 了 下个月 就 能 更改 了 归属 地 我 看看 您 更改 归属 地 过后 的 套餐 是 什么 套餐 等会儿 哎 下个月 十一号 的话 您 将 剩下 一个 和 四 g 校园 的 四十八 套餐 噢 您 现在 是 三十八 的 全球通 套餐 哈 嗯 嗯 那 还 什么 问题 吗 没有 谢谢 好 祝您 生活 愉快 不 客气 再见
好 的 您好 请 讲   呃 下个月 使用 的 套餐 是 八十 八块钱 有 还有 一千两百 分钟 跟 五五 五 g 流量 的
你 说   诶 你好
你好 需要 什么 帮助   嗯 可以 啊 等 下 我 把 您 套餐 资费 发短信 给 您 还 需要 什么 其他 帮助 吗
你好   你好 诶
早上好 请 说 诶 那个 你们 那个 机场   有 您 是 三十八 本身 是 有 带 五百 兆 的 上网 流量
您好 请 说   您好
您好 请 讲   因为 您 套餐 当中 包含 本地 打 国内 电话 一百 分钟 您 这边 打 了 四十九 分钟 还 剩下 五十 一分钟 我 帮 您 查看 您 这边 到 现在 为止 是 短信 发 得 比较 多 短信 发了 二十 几块钱 短信 就 花 了 二十四块 钱 是 收到 短信 花 了 二十六 块 七 毛 接收 短信 是 没有 钱 它 发出 去 的 短信 比较 多 的 钱 跟 他 说 一下 嗯 电话 没打 超过 还有 什么 可以 帮 您 呢
好 您好 请 讲   好 的 您 这边 有办 了 基本 套餐 十八块 钱 的 一百 分钟 通话 一 百兆 流量
你好 请 讲 诶 上午 过来 我 就   好 就 您 的 月租费 在 加上 您 的 宽带 还有 一个 彩印 功能 状况 是 给 您
您好   这个 就是 他 这个 号码 的 一个 收费 标准 已经 是 最低 的 了 这 没 办法 在 取消 了
啊 你好 很 高兴 为您服务   噢 您 这个 是 全 开通 了
好   嗯 八块钱 套餐
您好 您 请 说   对 家庭网 是 您 在 二 零 一二年 的 四月 二十 号 办理 的 呃 因为 现在 都 没 取消 过
你好   套餐 您 的 月 套餐 费 就是 十八块 了
您好 很 高兴 为您服务 行   你好
您好 很 高兴 您 服务 您好   恩好 的 您 这 号码 的话 现在 用 的 是 我们 八元 的 飞享 的 套餐 剩下 的话 是 有 一个 来电 提醒 还有 咪咕 特级 我 就 说 那个 咪咕 特级 会员 还有 彩印 功能 都 是 到期 会 自动 取消 掉 您 不用 管它 那 其他 的话 没有 额外收费 业务
您好 请 讲   套餐 是 吗 说 一下 我 看 一下 这边 是 办理 神州行 大众 呃 神州行 创业 卡 套餐 套餐 费 一个月 五块 每个 月 通话 最低 消费 十块钱
您好 请 讲   稍等一下
您好 很 高兴 为您服务   我 帮 您 查 一下 稍 等
啊 好 的 我 马上 帮 您 看 一下   噢 那 好恩好 的
您好 请 说 您好   有个 三十元 的 到期 要 取消 掉 是 吧
啊 您好 很 高兴 服务   诶 好 的 请 稍等一下 哈
您好 很 高兴 为您服务   呃 您 这个 号码 是 十八块 钱 一个月 的 套餐 除了 这个 十八 套餐 之外 您 有 一个 手机 阅读 手机 阅读 可以 取消 了 还有 一个 手机游戏 也 可以 取消 了 没有 用
您好 请 讲   没有 流量 套餐 就 自带 的 有 个 一 百兆
不 客气 您好 请 说   呃 我 有 在 听 请 说
您好 请 讲   我 看 一下
嗯 您好 高兴 您 服务   稍 等 我 看 一下 这 张卡 的话 基础 月租 一个月 三十八 来电 提醒 功能 三块 钱 其他 方面 的话 您 这里 一个 三块 钱 的 三块 钱 的 彩印
嗯 稍等一下 我 先 看 一下 好 吗   呃 这 张卡 除了 套餐 费 了 一百八十 八块钱 有 一个 彩铃 跟 来电 提醒
很 高兴 为您服务 您好 请 讲   嗯 嗯 噢 抱歉 您 没有 办理 那个 厦漳泉 同城包 的 所以 现在 流量 还是 只能 在 厦门 用 的
