你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好先生呃帮我看一下我现在用什么套餐啊嗯帮您看一下稍等一下帮您看这是那种大众卡套餐月租十块钱的套餐 那我帮您看您消费多少月租十块钱打电话保底十块钱我帮您看您最近这几个月消费多少嗯现在是属于那个呃十月份我帮您看您九月份消费五十一块八毛五十一块八毛四还有十三块两毛 使用想去改套餐您这个套餐已经是比较优惠的套餐了没有其他套餐没有您这个优惠现在套餐一般都是一毛九您这个是在漳州南靖这边优惠期给您打打一分钟只要一毛打移动的一分钟一毛如果是在移动网外一分钟两毛忙时算每分钟加六分钱这样子 
你好 不客气您好感谢耐心等待除了基本套餐外有订购了来电提醒有彩印的咪咕音乐的这些如果不需要使用可以帮您取消掉 恩好的那关闭之后里面的这个彩铃功能歌曲自动没掉呃来电提醒关闭来电显示功能还是有的您套餐还是有包含的 
您好请说 我帮您查询请您稍等一下 那感谢耐心等待您的业务这边查了一下这个月您用的是五八套餐下个月您改成十八一个月的了有开一个十元夜间流量促销包就是活动到期自己关有个来电提醒彩印中级包咪咕特级会员彩铃就这些 
您好请讲 呃除了那个基本月租三十八还有开通了就来电提醒 另外有来电提醒在有来电提醒彩铃和彩印功能您看这些业务要帮您关掉吗 
您好请讲 做八块钱套餐八块三呃唉对没错是的嗯 其他有一个来电提醒三块现在帮您查一下稍等 
您好请讲 对没错下个月生效新飞享三八套餐 那有给您你如果你要改回原来的套餐呢 
您好 我看一下您套餐现在是三十八套餐 他 
您好 我看一下 你是立主卡套餐有办一个来电提醒增强版彩印才还有个咪咕特级会员里头有包含彩铃功能 
很高兴为您服务 我看一下您稍等啊唉呀 呃您好先生这边我帮您查询一下您这边没有看到您这个号码有登记宽带啊 
很大它 您现在这个是二十八元的飞享套餐 好的三百兆就 
您好请讲 请问有什么可以帮您 您现在除了一个八块钱的基本套餐以外呢还有一个来电提醒的功能一个月收您两块钱其他没有了 
您好请说 你好请说 噢好请稍等我看一下先生您这号码有绑定宽带 
您本机是三十八元的套餐就是有五百兆流量一百分钟本地通话是这种然后另外就是有个彩铃功能五块钱别的没有什么 流量五百兆嗯 话费我看一下您本机现在的余额还剩下一百五十六块七毛 
您好请说 好稍等一下本机现在是还有设置就是关机无信号转移到一个幺七八的号码 没错 
嗯嗯啊您好请讲 嗯查询本机目前的话所办理的是呃九元的优酷流量卡套餐套餐费九块钱里面包括三g的流量用来登录优酷ap软件播放视频用的其他不能使用然后没有订购什么其他收费的了 对是的 
您好很高兴为您服务 本机号码吗对请稍等我查一下 感谢您的耐心等待没有办理宽带 
您好请讲 本机号码的话您目前是八十八元套餐那除了八十八元套餐给您参与的流量活动到十二月一号自动取消然后有一个来电提醒其他收费的话就没有楼一个家庭网 嗯家庭网我帮您看一下有没有家庭成员请稍等一下噢 
什么了 本机三十八元套餐 三十块钱的还有流量 
您好请说 稍等套餐的话是五十八的然后的话三块钱的来电提醒那个是活动的有收费的话就套餐五十八 稍等可以帮您设置一下到期自动取消 
嗯嗯您好下午好 嗯我看一下您目前呢除了您一百二十八的套餐之外就是一个一百块钱的一个流量套餐其他收费的就没有了 这边 
您好请说 噢好的请稍等我看一下呃是的您这边有开通彩铃功能 嗯它就是要登录移动的彩铃网站去设置就是叫有个咪咕音乐网我把网址发给您可以吗噢噢我这边先发给您有空先登上去看一下 
您好什么可以帮您 噢那我这边帮您转我们的宽带专席这个会有专门处理宽带好吗好的行谢谢好不客气您不要挂机马上帮您转接 
您好请说 您这个月的话当月代收费有扣您三十二块钱 这个就是只能通过手机上按到那个消费的软件产生的扣收 
嗯您好请讲你好您好请讲诶您好 呃您现在开通的话是新的一个五十八块钱的套餐除了这个以外有一个来电提醒还有一个彩铃跟彩印那彩铃跟彩印它活动下个月到期了帮您取消掉吗 那个是您八月份当时有参加活动送三个月的这个月还是免费的 
您好请说 您这三十八套餐了 一百分钟的本地通话流量五百兆 
您好很高兴为您服务 稍等一下您好短信功能正常没问题 短信接收接收不到是吧能不能发得出去呢 
您好请问什么帮助您 那剩下这边目前还有来电提醒跟彩印 那我帮您都取消只留一个三十八元的月租请您先稍等一下 
您好请讲 零零零六九 您是说您宽带用了多久吗还是什么对我帮您看一下就本机现在跟我通话这个号码吗对对对我帮您看一下宽带您是从一六年七月份开始用的一六年七月份另找回然后您之后有办理一个宽带活动就是宽带融合套餐两年的是从一七年四月份开始的一七年十月份开始对就宽带办一年送一年那个活动 
我您好有什么可以帮到您 恩好的对有流量安心包有的 对还会继续用 
您好请问什么可以帮助您 您是说给您打电话 流量上网还是说 
您好请说 这边给您查询您手机这边的话除了您的基本套餐套餐费三是三十八块钱以外您有一个十块钱一g的一个夜间流量包跟一个三元钱的一个来电提醒还有一个是无线音乐俱乐部特级会员六元钱跟彩印三元钱 稍等一下目前给您核实是六十元 
您好请说您好 请稍等您现在用的是四g飞享三十八的套餐 也就是说您现在改五十八的新飞享是吗 
您好请说 诶您好 噢好稍等我帮您查看一下 
中午好请讲 噢我看一下您稍等 噢本机号码除了您的六十九套餐之外额外有一个来电提醒还有个三块钱的短信套餐还有个咪咕特级会员也就是这个彩铃功能还有个彩印就这些业务其他没有其他没有吗那就但是您这号码之前有参加一个保底八十块钱送手机的这个活动噢那您每个月保底消费要达到八十块 
您好很高兴为您服务 其他来电提醒来电提醒功能费一个十三块钱别的话我给您看一下稍等 别的话我帮您看了一下您这边还有个是飞信的会员五块钱还有个是幺三九邮箱幺三九三是当时做活动给您开通的 
您好请讲 噢流量包有 有但是如果是活动的现在取消不了到十二月一号了就会自动取消 
嗯嗯嗯你好很高兴您服务 啊这里面的套餐是三十八元的然后呢您是说说 包含了什么什么项目包含这些三百分钟通话一点五g的省内流量和来电显示办法再上线 
您好很高兴为您服务 变更掉了下个月改的是新版本的三十八套餐 新办的套餐里面的话有一百兆国内流量一点四g省内通用的那个流量限当月使用的总共加起来流量有一点五g然后呢这个月的是五百兆的国内流量 
哎请说 有一个集团彩铃这个有有集团来帮您付费的另外是有一个个人彩铃 可以啊 
您好请讲 基本套餐 一百分钟本地通话一百兆全国流量跟来电显示 
您好请讲 一天一个g没有啊本机是十八块钱套餐只有一百兆流量您是帮另外一个号码付费的另外一个幺八八那个号码才是流量王的对对对对对对 对您本机这个是主号 
对您好很高兴您服务 昨天开几个是吗 我查一下昨天开两个 
您好您说 呃您好您说 对是的 
您好请讲 你好 诶您好可以听到您说 
您好很高兴为您服务 呃您本机号码目前除了您的月租费用三十八还有一个宽带业务以外那其他的业务我帮您查询就没有再额外开通了 提示不在呃您能说详细的吗 
您好请讲 请稍等这边核实一下就基本套餐以外的话有个两块钱的来电提醒 套餐费是三十八块钱然后的话有个六块钱的彩铃其他就没有了 
你好什么需要帮您 帮您看一下除了您的月租费十八块钱以外呢有开通一个来电提醒两块钱其他的话您都取消掉了别的没有什么业务收费了 不客气还什么需要帮助您 
啊您好请讲 三十八块钱的套餐 目前就只有这个 
嗯下午好很高兴为您服务 好的请没有 好不用客气还有什么可以帮您 
那空号请讲 嗯好是的现在就只有几兆了要开一个流量包吗 没有 
您好请说 好的请稍等目前帮您查询这号码这个三十八块钱的套餐跟一个三块钱的来电提醒功能其他收费目前帮您查询都没有就三十八跟来电提醒 全国打全国三百分钟在整个福建省流量一千五百兆的三八套餐 
您好请讲 有八十八套餐呢您想改八十八的是吗 三十八的 
您好很高兴为您服务 您这边有放其他业务有充一个pd区mp微的一个手机视频还有一个华谊央视还有一个咪咕阅读女生的读包跟一个呃咪咕阅读婚恋精选包这三个一个几个业务要不要帮您取消呢 有四g增值业务有一个咪咕阅读包月的两个还有一个手机视频两个要不要取消哪个四个 
嗯您好请说 本机除了套餐费二十八有办了一个精品漫赏尊享包跟彩印这两个要关掉吗 那就把刚才说的这两个先给您关掉您稍等 
你好请讲 噢好的稍等啊 呃您好那您这边我查了一下除了您的基本包套餐之外然后呢就是还有还有一个那个叫来电提醒跟一个彩铃会员已经彩印那目前给您查看了一下就这些了 
您好请讲 没有您这边的话如果说是三十元五百兆省内流量保那个是活动赠送的它赠送期间的话费我们是有返还没收您自己的费用 没有收费用的是吧啊没有没有我们话费是有返还的我待会儿帮您把话费返还的记录同意给您下发一个短信嘛你帮我看一下好吗噢好的好的还有什么可以帮助您啊那不用了好好好感谢来电再见 
