你好请讲其他 先生嗯请讲 
唉呀很高兴为您服务您好 嗯嗯 
您好很高兴为您服务喂诶你好请说 噢幺七二没有开通那个澳门的国际漫游对吗 
请讲嗯嗯您好请说 恩你好 
很高兴为您服务 请您稍等一下 
您好请讲 您手机已经办理了异地携号的服务了下个月就能更改了归属地我看看您更改归属地过后的套餐是什么套餐等会儿哎下个月十一号的话您将剩下一个和四g校园的四十八套餐噢您现在是三十八的全球通套餐哈嗯嗯那还什么问题吗没有谢谢好祝您生活愉快不客气再见 
好的您好请讲 呃下个月使用的套餐是八十八块钱有还有一千两百分钟跟五五五g流量的 
你说 诶你好 
你好需要什么帮助 嗯可以啊等下我把您套餐资费发短信给您还需要什么其他帮助吗 
你好 你好诶 
早上好请说诶那个你们那个机场 有您是三十八本身是有带五百兆的上网流量 
您好请说 您好 
您好请讲 因为您套餐当中包含本地打国内电话一百分钟您这边打了四十九分钟还剩下五十一分钟我帮您查看您这边到现在为止是短信发得比较多短信发了二十几块钱短信就花了二十四块钱是收到短信花了二十六块七毛接收短信是没有钱它发出去的短信比较多的钱跟他说一下嗯电话没打超过还有什么可以帮您呢 
好您好请讲 好的您这边有办了基本套餐十八块钱的一百分钟通话一百兆流量 
你好请讲诶上午过来我就 好就您的月租费在加上您的宽带还有一个彩印功能状况是给您 
您好 这个就是他这个号码的一个收费标准已经是最低的了这没办法在取消了 
啊你好很高兴为您服务 噢您这个是全开通了 
好 嗯八块钱套餐 
您好您请说 对家庭网是您在二零一二年的四月二十号办理的呃因为现在都没取消过 
你好 套餐您的月套餐费就是十八块了 
您好很高兴为您服务行 你好 
您好很高兴您服务您好 恩好的您这号码的话现在用的是我们八元的飞享的套餐剩下的话是有一个来电提醒还有咪咕特级我就说那个咪咕特级会员还有彩印功能都是到期会自动取消掉您不用管它那其他的话没有额外收费业务 
您好请讲 套餐是吗说一下我看一下这边是办理神州行大众呃神州行创业卡套餐套餐费一个月五块每个月通话最低消费十块钱 
您好请讲 稍等一下 
您好很高兴为您服务 我帮您查一下稍等 
啊好的我马上帮您看一下 噢那好恩好的 
您好请说您好 有个三十元的到期要取消掉是吧 
啊您好很高兴服务 诶好的请稍等一下哈 
您好很高兴为您服务 呃您这个号码是十八块钱一个月的套餐除了这个十八套餐之外您有一个手机阅读手机阅读可以取消了还有一个手机游戏也可以取消了没有用 
您好请讲 没有流量套餐就自带的有个一百兆 
不客气您好请说 呃我有在听请说 
您好请讲 我看一下 
嗯您好高兴您服务 稍等我看一下这张卡的话基础月租一个月三十八来电提醒功能三块钱其他方面的话您这里一个三块钱的三块钱的彩印 
嗯稍等一下我先看一下好吗 呃这张卡除了套餐费了一百八十八块钱有一个彩铃跟来电提醒 
很高兴为您服务您好请讲 嗯嗯噢抱歉您没有办理那个厦漳泉同城包的所以现在流量还是只能在厦门用的 
你好请讲 您好诶你好请说 
您好请说 首先您套餐是三十八块钱的套餐除了这个套餐以外额外有扣费业务有一个是五十块钱一个流量包的活动这个是到十二月一号到期到期以后自动关另外的话有一个是两块钱一个来电提醒这个是有扣费的那那没有安心我这边登记目前是没有啦嗯您说 
您好请说下午好 呃您好请说 
您好请讲 那您请稍等您除了三十八套餐以外有一个是人民网手机电视的还有个华帷支付不通会员包华纳电影包月 
那个你好请说 好请您稍等女士那帮您看了一下您这边的话也就基本的话就八块钱的基本套餐里头的话我查了一下没有任何的业务请您放心 
很高兴服务 好我看一下啊目前使用的是全球通八十八套餐里面是七百兆流量跟二百二十分钟 
嗯您好请讲 我看一下稍等呃您这个是套餐里面自动自带的是各一百分钟然后另外的话有噢没有另外只有一百分钟另外的这一百分钟是只能打给国内移动网内的打联通电信的都不能用 
您好请讲 好您稍等帮您查看一下二 
您好请讲 好请稍等基本包的话是三十八然后有开个三十元钱的上网流量套餐 
您好请讲 我看一下您稍等感谢您的耐心等待有开了您到哪里啊 
您好请讲 套餐的话您这边是五十分钟全国通话还有三百兆全国流量的三十八块钱的套餐 
对您好很高兴服务 稍等马上看一下这边帮您看了您就是这个基本套餐费其他没有包月收费业务 
您好很高兴您服务 啊您现在是一个月三十八元的嗯嗯然后另外有办了一个五十元流量包活动是到十二月一号会自动取自动结束取消其他的收费业务帮您查询暂时是没有嗯 
啊您好请讲行 诶您好 
就是想 嗯嗯然后是出现什么问题了吗 
您好请说 您好您的基本套餐是超级流量王的流量王的话它是一天一个g那每个月的套餐费是月初一次性扣除了这个基本套餐以外来电提醒三块彩印三块然后彩铃六块幺三七 
您好请讲 我帮您查一下呃那您这边就是八十八套餐七百兆额外有一个五十元一个g流量每个月有返还二十元话费的活动现在已经结束就是每个月五十块钱一个g 
您好请讲 你好 
您好很高兴为您服务 您好 
您好很高兴为您服务 您现在是幺二八零会员彩铃还有彩印还有来电提醒啊这些我都帮您登记活动到期自动取消掉 
您好请讲 您好请讲不客气 
很高兴为您服务您好 啊跟我通话这个号码吗已经是全球通的了全国接听免费的 
您好 嗯正在帮您看一下有开通来电提醒两块还有个六块钱的短信套餐呃没有其他收费的 
您好请讲 上海稍等我看一下对对呃您您没有没有办理电话出价转接没有吗那我怎么打过去都打不通啊打打电话打回原因呢 
哎您好请讲 好的马上为您检查噢不要要关掉吗 
阖家幸福您好请讲 套餐是几个什么套餐噢好的首先您现在来电的这张卡就是您的月租费三十八块钱除了十八块外的对是 
您好请说您好 呃您这边就是我们套餐八十八块钱套餐女士八十八然后另外呢还有一个五十块钱的流量十块钱夜间流量两块钱那两个都给我取消掉那个那就五十块钱包十块钱夜间流量都取消是吗呃对没错好那这两个业务帮您下个月取消不转下个月使用取消掉了嗯好取消了那还有别的会扣钱的别的就没有就是我刚才说了您的套餐八十八两块十八元的嗯嗯那这样就行可以谢谢啊拜拜不客气噢还有什么其他帮您的呢 
您好请说 嗯 
诶您好很高兴为您服务请说 噢您好女士您目前是十八套餐飞享套餐十八块 
唉呀您好高兴您服务 啊铁通的宽带然后 
很高兴为您服务您好 您稍等我帮您查询一下套餐这个是幺八八的套餐的 
您好请讲 嗯这边查询用的是十八套餐比如说一百 
哎狂您好请讲 诶好的我帮您看一下哈哦啊这个套餐就是移动宽带了然后您之前有个手机阅读那个已经是取消了没有开其他业务啊嗯还需要什么可以帮到您的 
您好请讲 我帮您看一下请您稍等流量是吗 
您好请讲 请讲请问什么可以帮助您 
一点您好请讲 好好稍等帮您看一下 
这样您说请讲请说诶 你好这号码的话是和家庭七十九元套餐 
您好请说 呃全球通啊 
你好请说 流量是吗那您要做流量共享的话要开通这个共享功能的女士 
您的基本套餐是五十元的然后您另外有开通一个五十元的流量包 八月份有办理过六十元六g流量现在是没有扣费了然后您有加入两个集团网 
你好 十八块 
哎行您好请讲 可以开通了什么业务好的请稍等一下您手机卡上面的基本套餐是七十九块钱一个月的 
晚上好很高兴为您服务 幺五二六零九九二二百八六 
月租费改成十八了家庭网公司网开通没什么业务了 是没开别的包月收费 
嗯嗯你好请说 呃你好 
您好请说 的业务吗嗯您除了八十八套餐以外都是有开通了一个三十元的上网流量包噢 
可以您好很高兴为您服务 就这两个号码共用一个套餐嘛对啊有没有先生不好意思我们没有这种这样子的功能 
您好很高兴为您服务 本机现在这个号码是飞享的十八块钱的套餐 
您好很高兴为您服务 除了您本身五十八的月租跟两块钱来电提醒其他就没有了 
流量你好 呃您说宽带是吗还是我帮您转一下宽带专家帮您看一下您的问题帮您转接 
哎你等一下 哪些业务是吗 
很高兴为您服务 帮我看一下 
您好有什么可以帮您 您好 
您好请说 好您稍等您好先生这个基本套餐是三十八的套餐另外有多呃办理一个多人保底的宽带活动除了这个之外还有一个三十元五百兆流量包这个三十您还需要吗 
您好很高兴为您服务 嗯我帮您查一下噢稍等 
您好请讲喂你好您好呃诶可以帮我这个手机问一下是它这个套餐什么的噢它这个十八块钱套餐一百兆流量一百分钟通话赠送来电显示的那可以改成三十八的吗可以呀你要改成三十八的是一点五g流量然后三百分钟通话那种吗 也是全球通的那个噢再噢那就改成那个八 
服务您好请讲诶你好 嗯您这个号码的话是有一个基本套餐十八块钱的 
嗯您好请说 对下个月生效的你不要它是吗 
您好请讲 跟您听不清楚 
您好高兴为您服务 好您稍等我查一下您这张卡是一张任我用的一张副卡每个月就是十块钱的十块钱有做代付然后有一g的省内通用流量 
您好请讲 现在的套餐本月您用的三十八元的下个月你有改了一个五十八元的 
嗯嗯 我帮您看一下您稍等 
您好请说 我帮您查一下请稍等 
你好请讲 手机号码现在那个套餐是什么套餐里面我忘记掉了我帮您看了一下是神州行幸福卡的套餐月租九块钱一个月 
