一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好请说 您好 国内流量吗 您刚刚收到短信是不是我看一下噢它只是跟您说噢你现在套餐那这个月有一百二十六兆流量可以用那你现在用了二十四兆只是给您提醒说您流量一个使用情况 
您好请说 呃什么意思就把套餐改掉是吗 呃我好像没有听明白啊通话的吗通话那要改套餐了如果不改套餐是没有加通话流量通话分钟的 实在抱歉没有 
很高兴为您服务 嗯您都在泉州本地用吗 泉州本地使用有个一百三十八新推出的在泉州本地流量不限量用一千二一百三十八一个月然后分钟数一千二 现在可以立即生效还是说不要下个月生效而且我这边办不了这款套餐只能到移动前台办 
您好 送了多少分钟还剩多少流量谢谢哎好的帮您看一下您稍等 嗯不客气的您目前的话流量的话还剩嗯国内流量还剩这个七百八十一兆分钟数还剩五十七分钟噢好的好的谢谢嗯不客气的祝您阖家幸福了 
宽带您好很高兴为您服务 呃流量套餐您是要大概需要多少呃多少的下长期用还是说就是连续使用 呃长期用的话像您到账目前是办四十八的嗯可以办理一个三十块的流量套餐三十块钱现在是有包含一个g的 对没错包月的或者是有一种六十块六g的这个目前也很划算的 
您好请讲 一百分钟 对 没有诶是一百分钟通话一百兆流量 
你好很高兴服务 多少元的套餐您再讲一下先生您要转哪个套餐 您说的是那个五十八飞享套餐嘛本地打国内有四百分钟省内可以用三g流量这个吗那边哪个套餐你说 您需要办理包月的流量套餐还是转月基本套餐 
您好请讲 对三十八是有三百分钟通话现在一点五g省内流量 可以啊那您那个三百分钟其中是一百分钟 对三百分钟其中是一百分钟全国通用另外两百分钟只能在龙岩范围内使用 
您好请讲 现在有新的那种和家庭套餐像九十九的它上面总的是本地打国内电话三百分钟有一g的是全国流量一g的是省内流量然后宽带是有一百兆这种是新版的您可以到营业厅里面去改新的套餐 呃这边改不了因为您这边有登记过宽带到营业厅里面才能做办理 那个不影响可以变更 
您好请讲 无限套餐也是说流量没限制的吗 通话的话我们现在有那种比如说流量无限的一百三十八元的套餐他是在中江州本地流量无限量打电话的话有一千二百分钟这一千二百分钟的话是有五百分钟全国都可以用另外有七百分钟是漳州打全国如果您在漳州这一千二都可以用的 本地流量无限打电话一千二 
你好请说对 您是说这个月补充的吗 嗯可以啊先生您是要办多少的到月底还要补多少兆对十块钱多少兆加油包十块钱一百兆还有其他的吗您差不多要多少兆比如说一千多兆两千多兆三千多兆这样子一个g一个g我们现在有一个原价五十块两个g现在收您二十四块六毛六有一千零九兆可以用四零情况好的 
您好请讲 家庭网是吗 最多只能添加包括您自己八呃就是总共九个人也就只能添加八个成员 福建移动号码 
您好请说 全球通八十八套餐是吗对对对从飞享八八套餐是有五g的流量是五g流量在省内都可以使用另外还有赠送一千两百分钟通话分钟数可以用 一千两百分钟 恩对没错 
您好很高兴为您服务 流量包比较多人办了有一款六十块钱六个g的它是一次性扣六十给六个g流量然后半年之内用完就好了 对 开一个月的是吧一个月大概需要多少流量 
嗯您好请说 噢也是飞享五十八套餐里面是有三个g流量在省内可以用然后打电话是有四百分钟其中呢有一百分钟是全国的另外三百分钟有要求必须在莆田本地打您平时会不会在外地经常用吗出差漫游啊 有这个套餐但是因为是您我们目前这个套餐是新出的吗它这个只有针对月租五十块钱以下的用户才能办您这边套餐暂时改不了就是了 呃您说哪个之前 
很高兴为您服务 现在您还参加了一个流量的活动 嗯 对十块钱一g还没到期明年二月一号到期二月一号就不能用了 
您好请说 噢 嗯对嗯你好 噢可以的一千两百分钟然后四十个g没有限速的流量然后通话的话它都是 
幺您好请讲 流量包是吧流量包现在有个六十元有六个g的全国流量有效期可以用半年的平均下来就十块钱一个g这样子 对它就是一次性扣六十元总的提供给您的是六个g的流量您在半年一百八十天内用完就可以用完自动取消不续费 十块钱的话只有一百兆了 
您好请讲 恩您好 对是的 嗯算的它是只能看手机是就是说是一个咪咕视频的一个每呃这个ipp在里面才能用的噢其他软件是不能用的 
您好很高兴为您服务 您好很高兴 我看一下您稍等啊 感谢耐心等待就是目前针对您是幸运客户免费赠送来电提醒和彩印的服务并且它有设置到期自动取消掉您放心 
您好请说 您好 您好请讲 最便宜的套餐是吗帮您看了一下最低套餐一个月是八块钱的然后里面是包含三十分钟您在优惠区内打全国然后包含显示功能接电话全国免费手机莫得优惠区为泉州永村 
您好有什么可以帮您呃 就是无限流量是没有线的那个无限流量还是没有限量的有无限流量没有限量了很多这样子啊没有限量的无限流量的话我们这个这种专门的卡是没有我们有套餐是这么呃对啊我就是问问我我就说有没有说它那种套餐噢还有一百 两百三十八呃跟两百三十八对我们目前宣传的是这种有几个档次 校园套餐它是说要去开一个二十块钱存在疾病校园某个区域内使用的这种有如果您是属于这种用户的话可以到周边的校园的这个营业厅这边去申请一下 
高兴您服务 您好 嗯现在是新飞享八十八的您准备换成哪一款 往低的改是吗请稍等一下啊您这个号码有保底六十块您会知道吗 
喂您好很高兴为您服务您好很高兴为您服务诶您好你说 啊套餐有啊是五十块两g的流量包是按天折算的像今天都十八号了吗今天十八号您办理五十块两g的我们就收您二十三块零一分有九百四十九百四十二兆今天开的话 嗯好的我就帮您补充您这个月生效的噢下个月帮您取消掉下个月他就不收费的噢流量不作累积好吗 那你稍等稍后您手机短信的话是收到办理五十元的那我们这个只收您二十三块零一分这个您不用担心哈 
您好请讲 没有八十八无限流量无限流量是这种是一百三十八就您现在这个 那您所那您看可能是那种活动它是本来就是一百三十八套餐然后它是买新号码买卡的时候第一年有每个月有送那个五十块的话费那这种的活动 其他不限量的吗 
下午好 一天一g这个是流量王的号码卡正在重新入网一张再重新买一张流量王的号码然后跟哪个号码进行捆绑付费关系才可以啊 它那个流量王吗 不用我流量它一个月几天比如说三十一天那就三十九那三十天那就三十八 
您好请讲 稍等啊 嗯 流量套餐比较多的有一款一百三十八的要去营业厅办是省内的是本地流量不限量的哦 
您好请说 优惠的流量套餐现在比较优惠六十元六g的了 一百八十天内用完就可以了总共六个g它是只收一次钱的这种 一个月可以办一次 
诶你好您好请问什么可以帮到您呢再见 嗯这号码现在这张卡新款的它通话分钟数是四百分钟上网流量套餐的话是有三个g但由于您是在十月十七号十七号买的我们套餐金额试着办的所以只收您二十八块六毛钱的月租然后您的数据上网流量我们这边折算完之后应该只剩下一点五个g左右通话时间都全部加起来有一百九十八分钟 他对象下个月就是完整的了 我帮您把这种情况给您发过去看一下嗯 
你好您好请讲 噢您现在套餐的话是八十八的然后每个月通话的话有一千两百分钟全国的都可以打流量每个月有五个g省内的之前当月费用 对呀噢不客气还有其他需要帮助的吗 
您好很高兴为您服务 国内流量就是说在全国都可以通用的省内流量就只能在福建省内用 是的 呃对就如果您福建省的流量就只能在福建省拿到那个外省这些用不了了 
您好很高兴为您服务 短信的有十块两百条二十块四百三十块六百兆 嗯六块一百条 恩您稍等一下噢那更改是下个月一号开始生效好行谢谢好的请您稍等一下噢那给您改好下个月一号开始生效还有什么可以帮您 
您好请讲 安心包它不用收费这个的话是长期有效的在您手机流量五百兆用完之后如果您有接着上网它会自动按照十块钱一百兆给您补充 对对是 便宜点那就正常去开包月的套餐了 
帮助您很高兴为您服务 流量套餐有啊流量套餐比如说您套餐里面有五百兆国内流量然后我们有另外送给您一个g福建省的流量啊然后噢现在在六十兆如果流量不够用可以另外开流量套餐比如说有三十块一个g的另外开也可以啊 是啊 它是套餐 
